count,lon,lat
0,10.941606,47.402817
0,10.985628,47.421501
3,10.985454,47.421483
0,10.927545,47.398981
1,10.967757,47.382878
0,10.969275,47.385228
0,10.968708,47.384036
19,10.944674,47.410542
0,10.987873,47.386074
1,10.979710,47.413465
0,10.984076,47.420750
0,12.272450,47.492250
0,12.304540,47.511100
59,12.304299,47.511070
0,12.323621,47.511458
0,12.322364,47.500900
0,12.345285,47.467166
0,12.348600,47.459202
0,12.395580,47.545760
22,12.332282,47.446759
0,12.198067,47.507328
0,10.680119,47.049695
2,10.660231,47.055095
27,10.659914,47.079094
0,10.630773,47.058404
0,10.746973,47.031068
3,10.746973,47.031068
2,10.746973,47.031068
0,10.746973,47.031068
0,10.746973,47.031068
0,10.593210,47.060030
0,10.588290,47.046750
0,10.588290,47.046750
141,10.588290,47.046750
4,12.552670,47.428110
0,12.552670,47.428110
58,12.549020,47.444480
0,12.549020,47.444480
30,12.548503,47.443985
1,12.580314,47.484333
0,12.555069,47.496555
122,12.580113,47.484423
161,12.571611,47.500629
1,12.612519,47.468285
0,12.621311,47.470877
0,12.569404,47.527492
0,12.487678,47.526120
0,12.487678,47.526120
5,12.567858,47.539910
0,11.801968,47.170323
0,11.745717,47.184729
4,11.830210,47.174760
17,11.795856,47.129953
3,11.862222,47.156060
0,11.860466,47.166807
0,11.859150,47.173527
1,11.872870,47.136360
0,11.825700,47.109119
2,11.775214,47.184268
0,11.774536,47.184076
0,11.747972,47.164951
0,11.810303,47.100139
0,11.723684,47.153913
0,10.586290,47.074350
149,10.588290,47.046750
9,10.588290,47.046750
0,10.588290,47.046750
0,10.588290,47.046750
0,10.588290,47.046750
0,10.582835,47.035113
4,10.582835,47.035113
64,10.582835,47.035113
31,10.624799,47.120975
13,10.632444,47.117187
0,10.593701,47.116146
0,10.593701,47.116146
2,10.568515,47.135546
18,10.575250,47.071240
8,10.575250,47.071240
4,10.575250,47.071240
1,10.575250,47.071240
0,10.575250,47.071240
0,11.798290,47.330870
0,11.798290,47.330870
0,11.798290,47.330870
0,11.798290,47.330870
0,11.798290,47.330870
0,11.798290,47.330870
0,11.798290,47.330870
29,11.798290,47.330870
40,11.795025,47.331843
0,11.815839,47.334038
1,11.858783,47.319486
0,11.858783,47.319486
12,11.858783,47.319486
0,11.858783,47.319486
80,11.858783,47.319486
0,11.858783,47.319486
2,11.307670,47.146350
0,11.307670,47.146350
0,11.307670,47.146350
0,11.307670,47.146350
0,11.307670,47.146350
0,11.307670,47.146350
0,11.307670,47.146350
1,11.307670,47.146350
0,11.297910,47.140850
7,11.297910,47.140850
0,11.297910,47.140850
2,11.297910,47.140850
0,11.297910,47.140850
0,11.297910,47.140850
0,11.297910,47.140850
3,11.331978,47.157011
78,11.332145,47.157696
8,11.294820,47.145295
0,11.295406,47.145276
0,11.394570,47.149766
5,11.394570,47.149766
