"('12.373282', '46.716136')",1,c16323
"('11.316143', '47.195111')",0,c16221
"('11.281041', '47.182973')",0,c127
"('11.316143', '47.195111')",0,c19986
"('11.281041', '47.182973')",1,c19982
"('11.281041', '47.182973')",0,c19978
"('11.281041', '47.182973')",4,c19979
"('11.281041', '47.182973')",0,c19980
"('11.281041', '47.182973')",14,c19981
"('11.316143', '47.195111')",0,c19983
"('11.316143', '47.195111')",0,c19984
"('11.316143', '47.195111')",0,c19985
"('11.316143', '47.195111')",0,c20403
"('11.316421', '47.194709')",0,c19655
"('11.282421', '47.183165')",0,c19656
"('11.333352', '47.211266')",5,c25524
"('11.333352', '47.211266')",0,c25523
"('11.333352', '47.211266')",22,c5410
"('11.333352', '47.211266')",0,c21022
"('11.199494', '47.240785')",1,c24698
"('11.349632', '47.257690')",0,c11636
"('11.181749', '47.242765')",0,c24700
"('11.384167', '47.259998')",0,c15235
"('11.315230', '47.155860')",0,c12867
"('11.315230', '47.155860')",0,c12866
"('11.315230', '47.155860')",0,c12865
"('11.384111', '47.264167')",0,c17245
"('10.407282', '47.268867')",0,c6055
"('10.407282', '47.268867')",0,c19525
"('10.351621', '47.262205')",0,c6336
"('10.344433', '47.260661')",8,c6337
"('10.304425', '47.347264')",0,c13554
"('10.304425', '47.347264')",16,c13553
"('10.528416', '47.274543')",0,c9169
"('10.536009', '47.268847')",0,c6047
"('10.536366', '47.268510')",0,c9168
"('10.380235', '47.152066')",0,c362
"('10.449994', '47.359310')",0,c6051
"('10.461161', '47.360695')",1,c16717
"('12.429293', '47.475219')",0,c24977
"('12.428111', '47.484861')",0,c25514
"('12.425840', '47.495569')",0,c16983
"('12.425840', '47.495569')",0,c16982
"('12.425344', '47.497546')",0,c13442
"('12.415550', '47.494525')",0,c16984
"('12.435193', '47.493660')",0,c13441
"('12.402974', '47.496299')",28,c25406
"('12.445536', '47.506476')",1,c5654
"('12.395561', '47.496278')",0,c13736
"('12.424115', '47.515890')",0,c20715
"('12.436572', '47.515048')",0,c3079
"('12.448154', '47.515208')",11,c11321
"('12.449377', '47.519039')",18,c12609
"('10.761720', '47.418270')",2,c25
"('10.761720', '47.418270')",0,c10925
"('10.746197', '47.411723')",2,c8412
"('10.740100', '47.415230')",2,c20861
"('10.740100', '47.415230')",0,c20860
"('10.740100', '47.415230')",0,c20859
"('10.740100', '47.415230')",0,c20858
"('10.740100', '47.415230')",4,c20857
"('10.740100', '47.415230')",1,c20856
"('10.746197', '47.411723')",10,c8772
"('10.746197', '47.411723')",3,c8771
"('10.746197', '47.411723')",0,c8770
"('10.746197', '47.411723')",4,c8396
"('10.761720', '47.418270')",0,c10927
"('10.761720', '47.418270')",1,c10924
"('10.761720', '47.418270')",0,c10923
"('10.761720', '47.418270')",39,c10922
"('10.785356', '47.474606')",0,c10687
